R,Nome,Squadra,Fm,Punteggio
C,Lipani,Sassuolo,0.0,0.0
C,Saco,Napoli,0.0,0.0
C,Joselito,Verona,0.0,0.0
A,Martinez L.,Inter,10.83,10.0
A,Osimhen,Napoli,8.38,0.0
A,Berardi,Sassuolo,9.0,5.5
A,Rafael Leao,Milan,8.0,6.0
A,Lukaku,Roma,8.57,6.0
A,Thuram,Inter,8.22,10.0
A,Giroud,Milan,8.5,6.0
A,Vlahovic,Juventus,7.64,5.5
A,Kvaratskhelia,Napoli,7.75,13.5
A,Dybala,Roma,7.17,0.0
A,Immobile,Lazio,6.5,0.0
A,Scamacca,Atalanta,7.42,7.5
A,Lookman,Atalanta,7.12,9.5
A,Retegui,Genoa,7.43,0.0
A,Dia,Salernitana,7.67,13.5
A,Gonzalez N.,Fiorentina,8.62,6.0
A,Chiesa,Juventus,8.07,0.0
A,Cabral,Fiorentina,0.0,0.0
A,Zapata D.,Torino,6.81,0.0
A,Milik,Juventus,7.42,5.5
A,Beto,Udinese,5.5,0.0
A,Lauriente',Sassuolo,6.56,5.5
A,Pinamonti,Sassuolo,7.33,5.5
A,Sanabria,Torino,5.75,5.5
A,Zirkzee,Bologna,7.11,5.5
A,Okafor,Milan,7.0,0.0
A,Krstovic,Lecce,7.69,5.5
A,Arnautovic,Inter,6.4,0.0
A,Nzola,Fiorentina,5.94,5.0
A,Belotti,Roma,8.21,6.0
A,Luvumbo,Cagliari,7.44,10.0
A,Soule',Frosinone,8.14,10.0
A,Cheddira,Frosinone,6.5,5.0
A,Ngonge,Verona,6.39,5.0
A,Castellanos,Lazio,7.3,7.5
A,Barrow,Bologna,0.0,0.0
A,Brekalo,Fiorentina,6.44,5.5
A,Colombo,Monza,6.57,5.5
A,Ceesay,Lecce,0.0,0.0
A,Almqvist,Lecce,6.39,5.5
A,Muriel,Atalanta,6.4,6.0
A,Raspadori,Napoli,6.38,8.0
A,Djuric,Verona,6.64,6.0
A,Correa,Inter,0.0,0.0
A,Simeone,Napoli,6.38,6.0
A,Sanchez,Inter,5.67,0.0
A,Caputo,Empoli,6.21,10.0
A,Lozano,Napoli,0.0,0.0
A,Beltran L.,Fiorentina,5.92,5.0
A,Bonazzoli,Verona,6.19,5.5
A,Thauvin,Udinese,6.11,9.5
A,Kouame',Fiorentina,6.75,0.0
A,Azmoun,Roma,6.0,6.0
